Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v16_sample_rows_vs_frequent_values,0.7096147884925207,58176.0,MISTRAL,81982.50789500447
v13_nullable_plus_frequent_values,0.7077462681465678,45949.0,MISTRAL,64922.98450450378
v09_fk_plus_frequent_values,0.7040744432144694,47945.0,MISTRAL,68096.49244063724
v04_plus_numeric_stats,0.692701636089219,34757.0,MISTRAL,50176.003908735314
v06_plus_frequent_values,0.6787281259894371,44374.0,MISTRAL,65378.16586768438
v02_plus_fk,0.6563575127058559,27777.0,MISTRAL,42319.92391690374
v01_full,1.0,118078.0,GEMINI,118078.0
v24_full_no_numeric_stats,0.8354138246840902,108668.0,GEMINI,130076.85148266795
v15_sample_rows_vs_sample_values,0.7945034763879247,75182.0,GEMINI,94627.653917642
v25_full_no_sample_rows,0.7929864082071516,104004.0,GEMINI,131154.8330760684
v18_fk_nullable_sample_values,0.792907577008009,66591.0,GEMINI,83983.30641671669
v16_sample_rows_vs_frequent_values,0.7915064053403006,56971.0,GEMINI,71977.93930107978
v23_fk_nullable_sample_rows_plus_sample_values,0.7857083631886376,80667.0,GEMINI,102667.8647948068
v20_fk_nullable_both_values,0.7821957839859857,85018.0,GEMINI,108691.45774061502
v17_sample_rows_plus_both_values,0.7782541157470809,93609.0,GEMINI,120280.76447773172
v22_fk_nullable_sample_rows_plus_frequent,0.7586163244313663,62456.0,GEMINI,82328.83736955562
v19_fk_nullable_frequent_values,0.7584862240486675,48380.0,GEMINI,63784.94225215585
v10_fk_plus_sample_and_frequent,0.7400805162058935,83443.0,GEMINI,112748.54312849631
v07_plus_sample_rows,0.7386542063620355,37322.0,GEMINI,50527.02560757831
v13_nullable_plus_frequent_values,0.7366964081923166,44470.0,GEMINI,60364.07875140744
v08_fk_plus_sample_values,0.7355707385473781,65016.0,GEMINI,88388.50785227683
v12_nullable_plus_sample_values,0.7343272818459404,62681.0,GEMINI,85358.39747426173
v05_plus_sample_values,0.7338847128881348,61106.0,GEMINI,83263.75918027102
v21_fk_nullable_sample_rows,0.7315989835394753,42673.0,GEMINI,58328.40252667938
v06_plus_frequent_values,0.7275089625683097,42895.0,GEMINI,58961.47292614607
v11_fk_plus_sample_rows,0.72415519207716,41232.0,GEMINI,56938.07135695667
v09_fk_plus_frequent_values,0.7208743525875939,46805.0,GEMINI,64928.0971531203
v02_plus_fk,0.7203787235750093,27156.0,GEMINI,37696.83794273303
v00_baseline,0.6967270067996449,23246.0,GEMINI,33364.57432126607
v04_plus_numeric_stats,0.6961040939721795,33821.0,GEMINI,48586.124249043256
v03_plus_nullable,0.6955866519775656,24687.0,GEMINI,35490.90530966114
v14_nullable_plus_numeric_stats,0.6761909814344512,35396.0,GEMINI,52346.15807047883
