Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v00_baseline,0.6056203254063924,29745.0,MISTRAL,49114.93018342815
v16_sample_rows_vs_frequent_values,0.6045248421033224,91725.0,MISTRAL,151730.7372859341
v22_fk_nullable_sample_rows_plus_frequent,0.5763722960154215,93106.0,MISTRAL,161537.95150055035
v21_fk_nullable_sample_rows,0.5654471063613892,54008.0,MISTRAL,95513.79676790201
v03_plus_nullable,0.5641616463661194,32585.0,MISTRAL,57758.26876904279
v02_plus_fk,0.5511819195747375,29995.0,MISTRAL,54419.41931466573
v01_full,1.0,190878.0,GEMINI,190878.0
v10_fk_plus_sample_and_frequent,0.758939078648885,110798.0,GEMINI,145990.63761119026
v20_fk_nullable_both_values,0.7474545804659526,113663.0,GEMINI,152066.76495198422
v17_sample_rows_plus_both_values,0.7455822219848633,130759.0,GEMINI,175378.37698422835
v24_full_no_numeric_stats,0.7438391243616741,151501.0,GEMINI,203674.41700516985
v15_sample_rows_vs_sample_values,0.741920968691508,91876.0,GEMINI,123835.29227113973
v08_fk_plus_sample_values,0.7413462986946107,71915.0,GEMINI,97005.94732398412
v23_fk_nullable_sample_rows_plus_sample_values,0.7411861406962076,95041.0,GEMINI,128228.24764468278
v18_fk_nullable_sample_values,0.7406960938771566,74780.0,GEMINI,100959.08513377709
v19_fk_nullable_frequent_values,0.7402827159563701,71945.0,GEMINI,97185.84325861826
v22_fk_nullable_sample_rows_plus_frequent,0.7371893696784972,92206.0,GEMINI,125077.766707641
v05_plus_sample_values,0.7322190095583597,71615.0,GEMINI,97805.436713798
v16_sample_rows_vs_frequent_values,0.730588714281718,89041.0,GEMINI,121875.68499130337
v11_fk_plus_sample_rows,0.7232543261845906,48130.0,GEMINI,66546.4391397448
v21_fk_nullable_sample_rows,0.7227262746493023,50970.0,GEMINI,70524.62569557586
v13_nullable_plus_frequent_values,0.7217287408510845,71645.0,GEMINI,99268.59766664417
v12_nullable_plus_sample_values,0.7175734974543253,74480.0,GEMINI,103794.24583575952
v14_nullable_plus_numeric_stats,0.7167005888621013,71536.0,GEMINI,99812.94994270484
v07_plus_sample_rows,0.7124506985346476,47830.0,GEMINI,67134.46993367493
v04_plus_numeric_stats,0.7069712003072103,68671.0,GEMINI,97134.08406192418
v25_full_no_sample_rows,0.6963928462664286,170617.0,GEMINI,245001.08080479148
v02_plus_fk,0.692247826576233,27869.0,GEMINI,40258.703501947304
v09_fk_plus_frequent_values,0.6600481192270915,69080.0,GEMINI,104659.03619404577
v06_plus_frequent_values,0.655632667541504,68780.0,GEMINI,104906.30410152035
v00_baseline,0.653227473417918,27569.0,GEMINI,42204.28736064821
v03_plus_nullable,0.6404071516990661,30409.0,GEMINI,47483.85448120276
